PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,age_group,fare_group,gender_male,embarked_Q,embarked_S,master,miss,mr,mrs
1,0,3,22.0,1,0,7.25,1.0,0,1,0,1,0,0,1,0
2,1,1,38.0,1,0,71.2833,1.0,2,0,0,0,0,0,0,1
3,1,3,26.0,0,0,7.925,1.0,0,0,0,1,0,1,0,0
4,1,1,35.0,1,0,53.1,1.0,2,0,0,1,0,0,0,1
5,0,3,35.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
6,0,3,,0,0,8.4583,,0,1,1,0,0,0,1,0
7,0,1,54.0,0,0,51.8625,1.0,2,1,0,1,0,0,1,0
8,0,3,2.0,3,1,21.075,0.0,1,1,0,1,1,0,0,0
9,1,3,27.0,0,2,11.1333,1.0,1,0,0,1,0,0,0,1
10,1,2,14.0,1,0,30.0708,0.0,1,0,0,0,0,0,0,1
11,1,3,4.0,1,1,16.7,0.0,1,0,0,1,0,1,0,0
12,1,1,58.0,0,0,26.55,2.0,1,0,0,1,0,1,0,0
13,0,3,20.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
14,0,3,39.0,1,5,31.275,1.0,1,1,0,1,0,0,1,0
15,0,3,14.0,0,0,7.8542,0.0,0,0,0,1,0,1,0,0
16,1,2,55.0,0,0,16.0,2.0,1,0,0,1,0,0,0,1
17,0,3,2.0,4,1,29.125,0.0,1,1,1,0,1,0,0,0
18,1,2,,0,0,13.0,,1,1,0,1,0,0,1,0
19,0,3,31.0,1,0,18.0,1.0,1,0,0,1,0,0,0,1
20,1,3,,0,0,7.225,,0,0,0,0,0,0,0,1
21,0,2,35.0,0,0,26.0,1.0,1,1,0,1,0,0,1,0
22,1,2,34.0,0,0,13.0,1.0,1,1,0,1,0,0,1,0
23,1,3,15.0,0,0,8.0292,0.0,0,0,1,0,0,1,0,0
24,1,1,28.0,0,0,35.5,1.0,1,1,0,1,0,0,1,0
25,0,3,8.0,3,1,21.075,0.0,1,0,0,1,0,1,0,0
26,1,3,38.0,1,5,31.3875,1.0,1,0,0,1,0,0,0,1
27,0,3,,0,0,7.225,,0,1,0,0,0,0,1,0
28,0,1,19.0,3,2,263.0,1.0,2,1,0,1,0,0,1,0
29,1,3,,0,0,7.8792,,0,0,1,0,0,1,0,0
30,0,3,,0,0,7.8958,,0,1,0,1,0,0,1,0
31,0,1,40.0,0,0,27.7208,1.0,1,1,0,0,0,0,0,0
32,1,1,,1,0,146.5208,,2,0,0,0,0,0,0,1
33,1,3,,0,0,7.75,,0,0,1,0,0,1,0,0
34,0,2,66.0,0,0,10.5,2.0,0,1,0,1,0,0,1,0
35,0,1,28.0,1,0,82.1708,1.0,2,1,0,0,0,0,1,0
36,0,1,42.0,1,0,52.0,1.0,2,1,0,1,0,0,1,0
37,1,3,,0,0,7.2292,,0,1,0,0,0,0,1,0
38,0,3,21.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
39,0,3,18.0,2,0,18.0,1.0,1,0,0,1,0,1,0,0
40,1,3,14.0,1,0,11.2417,0.0,1,0,0,0,0,1,0,0
41,0,3,40.0,1,0,9.475,1.0,0,0,0,1,0,0,0,1
42,0,2,27.0,1,0,21.0,1.0,1,0,0,1,0,0,0,1
43,0,3,,0,0,7.8958,,0,1,0,0,0,0,1,0
44,1,2,3.0,1,2,41.5792,0.0,1,0,0,0,0,1,0,0
45,1,3,19.0,0,0,7.8792,1.0,0,0,1,0,0,1,0,0
46,0,3,,0,0,8.05,,0,1,0,1,0,0,1,0
47,0,3,,1,0,15.5,,1,1,1,0,0,0,1,0
48,1,3,,0,0,7.75,,0,0,1,0,0,1,0,0
49,0,3,,2,0,21.6792,,1,1,0,0,0,0,1,0
50,0,3,18.0,1,0,17.8,1.0,1,0,0,1,0,0,0,1
51,0,3,7.0,4,1,39.6875,0.0,1,1,0,1,1,0,0,0
52,0,3,21.0,0,0,7.8,1.0,0,1,0,1,0,0,1,0
53,1,1,49.0,1,0,76.7292,1.0,2,0,0,0,0,0,0,1
54,1,2,29.0,1,0,26.0,1.0,1,0,0,1,0,0,0,1
55,0,1,65.0,0,1,61.9792,2.0,2,1,0,0,0,0,1,0
56,1,1,,0,0,35.5,,1,1,0,1,0,0,1,0
57,1,2,21.0,0,0,10.5,1.0,0,0,0,1,0,1,0,0
58,0,3,28.5,0,0,7.2292,1.0,0,1,0,0,0,0,1,0
59,1,2,5.0,1,2,27.75,0.0,1,0,0,1,0,1,0,0
60,0,3,11.0,5,2,46.9,0.0,1,1,0,1,1,0,0,0
61,0,3,22.0,0,0,7.2292,1.0,0,1,0,0,0,0,1,0
62,1,1,38.0,0,0,80.0,1.0,2,0,0,1,0,1,0,0
63,0,1,45.0,1,0,83.475,1.0,2,1,0,1,0,0,1,0
64,0,3,4.0,3,2,27.9,0.0,1,1,0,1,1,0,0,0
65,0,1,,0,0,27.7208,,1,1,0,0,0,0,1,0
66,1,3,,1,1,15.2458,,1,1,0,0,1,0,0,0
67,1,2,29.0,0,0,10.5,1.0,0,0,0,1,0,0,0,1
68,0,3,19.0,0,0,8.1583,1.0,0,1,0,1,0,0,1,0
69,1,3,17.0,4,2,7.925,1.0,0,0,0,1,0,1,0,0
70,0,3,26.0,2,0,8.6625,1.0,0,1,0,1,0,0,1,0
71,0,2,32.0,0,0,10.5,1.0,0,1,0,1,0,0,1,0
72,0,3,16.0,5,2,46.9,1.0,1,0,0,1,0,1,0,0
73,0,2,21.0,0,0,73.5,1.0,2,1,0,1,0,0,1,0
74,0,3,26.0,1,0,14.4542,1.0,1,1,0,0,0,0,1,0
75,1,3,32.0,0,0,56.4958,1.0,2,1,0,1,0,0,1,0
76,0,3,25.0,0,0,7.65,1.0,0,1,0,1,0,0,1,0
77,0,3,,0,0,7.8958,,0,1,0,1,0,0,1,0
78,0,3,,0,0,8.05,,0,1,0,1,0,0,1,0
79,1,2,0.83,0,2,29.0,0.0,1,1,0,1,1,0,0,0
80,1,3,30.0,0,0,12.475,1.0,1,0,0,1,0,1,0,0
81,0,3,22.0,0,0,9.0,1.0,0,1,0,1,0,0,1,0
82,1,3,29.0,0,0,9.5,1.0,0,1,0,1,0,0,1,0
83,1,3,,0,0,7.7875,,0,0,1,0,0,1,0,0
84,0,1,28.0,0,0,47.1,1.0,1,1,0,1,0,0,1,0
85,1,2,17.0,0,0,10.5,1.0,0,0,0,1,0,1,0,0
86,1,3,33.0,3,0,15.85,1.0,1,0,0,1,0,0,0,1
87,0,3,16.0,1,3,34.375,1.0,1,1,0,1,0,0,1,0
88,0,3,,0,0,8.05,,0,1,0,1,0,0,1,0
89,1,1,23.0,3,2,263.0,1.0,2,0,0,1,0,1,0,0
90,0,3,24.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
91,0,3,29.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
92,0,3,20.0,0,0,7.8542,1.0,0,1,0,1,0,0,1,0
93,0,1,46.0,1,0,61.175,1.0,2,1,0,1,0,0,1,0
94,0,3,26.0,1,2,20.575,1.0,1,1,0,1,0,0,1,0
95,0,3,59.0,0,0,7.25,2.0,0,1,0,1,0,0,1,0
96,0,3,,0,0,8.05,,0,1,0,1,0,0,1,0
97,0,1,71.0,0,0,34.6542,2.0,1,1,0,0,0,0,1,0
98,1,1,23.0,0,1,63.3583,1.0,2,1,0,0,0,0,1,0
99,1,2,34.0,0,1,23.0,1.0,1,0,0,1,0,0,0,1
100,0,2,34.0,1,0,26.0,1.0,1,1,0,1,0,0,1,0
101,0,3,28.0,0,0,7.8958,1.0,0,0,0,1,0,1,0,0
102,0,3,,0,0,7.8958,,0,1,0,1,0,0,1,0
103,0,1,21.0,0,1,77.2875,1.0,2,1,0,1,0,0,1,0
104,0,3,33.0,0,0,8.6542,1.0,0,1,0,1,0,0,1,0
105,0,3,37.0,2,0,7.925,1.0,0,1,0,1,0,0,1,0
106,0,3,28.0,0,0,7.8958,1.0,0,1,0,1,0,0,1,0
107,1,3,21.0,0,0,7.65,1.0,0,0,0,1,0,1,0,0
108,1,3,,0,0,7.775,,0,1,0,1,0,0,1,0
109,0,3,38.0,0,0,7.8958,1.0,0,1,0,1,0,0,1,0
110,1,3,,1,0,24.15,,1,0,1,0,0,1,0,0
111,0,1,47.0,0,0,52.0,1.0,2,1,0,1,0,0,1,0
112,0,3,14.5,1,0,14.4542,0.0,1,0,0,0,0,1,0,0
113,0,3,22.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
114,0,3,20.0,1,0,9.825,1.0,0,0,0,1,0,1,0,0
115,0,3,17.0,0,0,14.4583,1.0,1,0,0,0,0,1,0,0
116,0,3,21.0,0,0,7.925,1.0,0,1,0,1,0,0,1,0
117,0,3,70.5,0,0,7.75,2.0,0,1,1,0,0,0,1,0
118,0,2,29.0,1,0,21.0,1.0,1,1,0,1,0,0,1,0
119,0,1,24.0,0,1,247.5208,1.0,2,1,0,0,0,0,1,0
120,0,3,2.0,4,2,31.275,0.0,1,0,0,1,0,1,0,0
121,0,2,21.0,2,0,73.5,1.0,2,1,0,1,0,0,1,0
122,0,3,,0,0,8.05,,0,1,0,1,0,0,1,0
123,0,2,32.5,1,0,30.0708,1.0,1,1,0,0,0,0,1,0
124,1,2,32.5,0,0,13.0,1.0,1,0,0,1,0,1,0,0
125,0,1,54.0,0,1,77.2875,1.0,2,1,0,1,0,0,1,0
126,1,3,12.0,1,0,11.2417,0.0,1,1,0,0,1,0,0,0
127,0,3,,0,0,7.75,,0,1,1,0,0,0,1,0
128,1,3,24.0,0,0,7.1417,1.0,0,1,0,1,0,0,1,0
129,1,3,,1,1,22.3583,,1,0,0,0,0,1,0,0
130,0,3,45.0,0,0,6.975,1.0,0,1,0,1,0,0,1,0
131,0,3,33.0,0,0,7.8958,1.0,0,1,0,0,0,0,1,0
132,0,3,20.0,0,0,7.05,1.0,0,1,0,1,0,0,1,0
133,0,3,47.0,1,0,14.5,1.0,1,0,0,1,0,0,0,1
134,1,2,29.0,1,0,26.0,1.0,1,0,0,1,0,0,0,1
135,0,2,25.0,0,0,13.0,1.0,1,1,0,1,0,0,1,0
136,0,2,23.0,0,0,15.0458,1.0,1,1,0,0,0,0,1,0
137,1,1,19.0,0,2,26.2833,1.0,1,0,0,1,0,1,0,0
138,0,1,37.0,1,0,53.1,1.0,2,1,0,1,0,0,1,0
139,0,3,16.0,0,0,9.2167,1.0,0,1,0,1,0,0,1,0
140,0,1,24.0,0,0,79.2,1.0,2,1,0,0,0,0,1,0
141,0,3,,0,2,15.2458,,1,0,0,0,0,0,0,1
142,1,3,22.0,0,0,7.75,1.0,0,0,0,1,0,1,0,0
143,1,3,24.0,1,0,15.85,1.0,1,0,0,1,0,0,0,1
144,0,3,19.0,0,0,6.75,1.0,0,1,1,0,0,0,1,0
145,0,2,18.0,0,0,11.5,1.0,1,1,0,1,0,0,1,0
146,0,2,19.0,1,1,36.75,1.0,1,1,0,1,0,0,1,0
147,1,3,27.0,0,0,7.7958,1.0,0,1,0,1,0,0,1,0
148,0,3,9.0,2,2,34.375,0.0,1,0,0,1,0,1,0,0
149,0,2,36.5,0,2,26.0,1.0,1,1,0,1,0,0,1,0
150,0,2,42.0,0,0,13.0,1.0,1,1,0,1,0,0,0,0
151,0,2,51.0,0,0,12.525,1.0,1,1,0,1,0,0,0,0
152,1,1,22.0,1,0,66.6,1.0,2,0,0,1,0,0,0,1
153,0,3,55.5,0,0,8.05,2.0,0,1,0,1,0,0,1,0
154,0,3,40.5,0,2,14.5,1.0,1,1,0,1,0,0,1,0
155,0,3,,0,0,7.3125,,0,1,0,1,0,0,1,0
156,0,1,51.0,0,1,61.3792,1.0,2,1,0,0,0,0,1,0
157,1,3,16.0,0,0,7.7333,1.0,0,0,1,0,0,1,0,0
158,0,3,30.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
159,0,3,,0,0,8.6625,,0,1,0,1,0,0,1,0
160,0,3,,8,2,69.55,,2,1,0,1,1,0,0,0
161,0,3,44.0,0,1,16.1,1.0,1,1,0,1,0,0,1,0
162,1,2,40.0,0,0,15.75,1.0,1,0,0,1,0,0,0,1
163,0,3,26.0,0,0,7.775,1.0,0,1,0,1,0,0,1,0
164,0,3,17.0,0,0,8.6625,1.0,0,1,0,1,0,0,1,0
165,0,3,1.0,4,1,39.6875,0.0,1,1,0,1,1,0,0,0
166,1,3,9.0,0,2,20.525,0.0,1,1,0,1,1,0,0,0
167,1,1,,0,1,55.0,,2,0,0,1,0,0,0,1
168,0,3,45.0,1,4,27.9,1.0,1,0,0,1,0,0,0,1
169,0,1,,0,0,25.925,,1,1,0,1,0,0,1,0
170,0,3,28.0,0,0,56.4958,1.0,2,1,0,1,0,0,1,0
171,0,1,61.0,0,0,33.5,2.0,1,1,0,1,0,0,1,0
172,0,3,4.0,4,1,29.125,0.0,1,1,1,0,1,0,0,0
173,1,3,1.0,1,1,11.1333,0.0,1,0,0,1,0,1,0,0
174,0,3,21.0,0,0,7.925,1.0,0,1,0,1,0,0,1,0
175,0,1,56.0,0,0,30.6958,2.0,1,1,0,0,0,0,1,0
176,0,3,18.0,1,1,7.8542,1.0,0,1,0,1,0,0,1,0
177,0,3,,3,1,25.4667,,1,1,0,1,1,0,0,0
178,0,1,50.0,0,0,28.7125,1.0,1,0,0,0,0,1,0,0
179,0,2,30.0,0,0,13.0,1.0,1,1,0,1,0,0,1,0
180,0,3,36.0,0,0,0.0,1.0,0,1,0,1,0,0,1,0
181,0,3,,8,2,69.55,,2,0,0,1,0,1,0,0
182,0,2,,0,0,15.05,,1,1,0,0,0,0,1,0
183,0,3,9.0,4,2,31.3875,0.0,1,1,0,1,1,0,0,0
184,1,2,1.0,2,1,39.0,0.0,1,1,0,1,1,0,0,0
185,1,3,4.0,0,2,22.025,0.0,1,0,0,1,0,1,0,0
186,0,1,,0,0,50.0,,2,1,0,1,0,0,1,0
187,1,3,,1,0,15.5,,1,0,1,0,0,0,0,1
188,1,1,45.0,0,0,26.55,1.0,1,1,0,1,0,0,1,0
189,0,3,40.0,1,1,15.5,1.0,1,1,1,0,0,0,1,0
190,0,3,36.0,0,0,7.8958,1.0,0,1,0,1,0,0,1,0
191,1,2,32.0,0,0,13.0,1.0,1,0,0,1,0,0,0,1
192,0,2,19.0,0,0,13.0,1.0,1,1,0,1,0,0,1,0
193,1,3,19.0,1,0,7.8542,1.0,0,0,0,1,0,1,0,0
194,1,2,3.0,1,1,26.0,0.0,1,1,0,1,1,0,0,0
195,1,1,44.0,0,0,27.7208,1.0,1,0,0,0,0,0,0,1
196,1,1,58.0,0,0,146.5208,2.0,2,0,0,0,0,1,0,0
197,0,3,,0,0,7.75,,0,1,1,0,0,0,1,0
198,0,3,42.0,0,1,8.4042,1.0,0,1,0,1,0,0,1,0
199,1,3,,0,0,7.75,,0,0,1,0,0,1,0,0
200,0,2,24.0,0,0,13.0,1.0,1,0,0,1,0,0,0,1
201,0,3,28.0,0,0,9.5,1.0,0,1,0,1,0,0,1,0
202,0,3,,8,2,69.55,,2,1,0,1,0,0,1,0
203,0,3,34.0,0,0,6.4958,1.0,0,1,0,1,0,0,1,0
204,0,3,45.5,0,0,7.225,1.0,0,1,0,0,0,0,1,0
205,1,3,18.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
206,0,3,2.0,0,1,10.4625,0.0,0,0,0,1,0,1,0,0
207,0,3,32.0,1,0,15.85,1.0,1,1,0,1,0,0,1,0
208,1,3,26.0,0,0,18.7875,1.0,1,1,0,0,0,0,1,0
209,1,3,16.0,0,0,7.75,1.0,0,0,1,0,0,1,0,0
210,1,1,40.0,0,0,31.0,1.0,1,1,0,0,0,0,1,0
211,0,3,24.0,0,0,7.05,1.0,0,1,0,1,0,0,1,0
212,1,2,35.0,0,0,21.0,1.0,1,0,0,1,0,1,0,0
213,0,3,22.0,0,0,7.25,1.0,0,1,0,1,0,0,1,0
214,0,2,30.0,0,0,13.0,1.0,1,1,0,1,0,0,1,0
215,0,3,,1,0,7.75,,0,1,1,0,0,0,1,0
216,1,1,31.0,1,0,113.275,1.0,2,0,0,0,0,1,0,0
217,1,3,27.0,0,0,7.925,1.0,0,0,0,1,0,1,0,0
218,0,2,42.0,1,0,27.0,1.0,1,1,0,1,0,0,1,0
219,1,1,32.0,0,0,76.2917,1.0,2,0,0,0,0,1,0,0
220,0,2,30.0,0,0,10.5,1.0,0,1,0,1,0,0,1,0
221,1,3,16.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
222,0,2,27.0,0,0,13.0,1.0,1,1,0,1,0,0,1,0
223,0,3,51.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
224,0,3,,0,0,7.8958,,0,1,0,1,0,0,1,0
225,1,1,38.0,1,0,90.0,1.0,2,1,0,1,0,0,1,0
226,0,3,22.0,0,0,9.35,1.0,0,1,0,1,0,0,1,0
227,1,2,19.0,0,0,10.5,1.0,0,1,0,1,0,0,1,0
228,0,3,20.5,0,0,7.25,1.0,0,1,0,1,0,0,1,0
229,0,2,18.0,0,0,13.0,1.0,1,1,0,1,0,0,1,0
230,0,3,,3,1,25.4667,,1,0,0,1,0,1,0,0
231,1,1,35.0,1,0,83.475,1.0,2,0,0,1,0,0,0,1
232,0,3,29.0,0,0,7.775,1.0,0,1,0,1,0,0,1,0
233,0,2,59.0,0,0,13.5,2.0,1,1,0,1,0,0,1,0
234,1,3,5.0,4,2,31.3875,0.0,1,0,0,1,0,1,0,0
235,0,2,24.0,0,0,10.5,1.0,0,1,0,1,0,0,1,0
236,0,3,,0,0,7.55,,0,0,0,1,0,1,0,0
237,0,2,44.0,1,0,26.0,1.0,1,1,0,1,0,0,1,0
238,1,2,8.0,0,2,26.25,0.0,1,0,0,1,0,1,0,0
239,0,2,19.0,0,0,10.5,1.0,0,1,0,1,0,0,1,0
240,0,2,33.0,0,0,12.275,1.0,1,1,0,1,0,0,1,0
241,0,3,,1,0,14.4542,,1,0,0,0,0,1,0,0
242,1,3,,1,0,15.5,,1,0,1,0,0,1,0,0
243,0,2,29.0,0,0,10.5,1.0,0,1,0,1,0,0,1,0
244,0,3,22.0,0,0,7.125,1.0,0,1,0,1,0,0,1,0
245,0,3,30.0,0,0,7.225,1.0,0,1,0,0,0,0,1,0
246,0,1,44.0,2,0,90.0,1.0,2,1,1,0,0,0,0,0
247,0,3,25.0,0,0,7.775,1.0,0,0,0,1,0,1,0,0
248,1,2,24.0,0,2,14.5,1.0,1,0,0,1,0,0,0,1
249,1,1,37.0,1,1,52.5542,1.0,2,1,0,1,0,0,1,0
250,0,2,54.0,1,0,26.0,1.0,1,1,0,1,0,0,0,0
251,0,3,,0,0,7.25,,0,1,0,1,0,0,1,0
252,0,3,29.0,1,1,10.4625,1.0,0,0,0,1,0,0,0,1
253,0,1,62.0,0,0,26.55,2.0,1,1,0,1,0,0,1,0
254,0,3,30.0,1,0,16.1,1.0,1,1,0,1,0,0,1,0
255,0,3,41.0,0,2,20.2125,1.0,1,0,0,1,0,0,0,1
256,1,3,29.0,0,2,15.2458,1.0,1,0,0,0,0,0,0,1
257,1,1,,0,0,79.2,,2,0,0,0,0,0,0,1
258,1,1,30.0,0,0,86.5,1.0,2,0,0,1,0,1,0,0
259,1,1,35.0,0,0,512.3292,1.0,2,0,0,0,0,1,0,0
260,1,2,50.0,0,1,26.0,1.0,1,0,0,1,0,0,0,1
261,0,3,,0,0,7.75,,0,1,1,0,0,0,1,0
262,1,3,3.0,4,2,31.3875,0.0,1,1,0,1,1,0,0,0
263,0,1,52.0,1,1,79.65,1.0,2,1,0,1,0,0,1,0
264,0,1,40.0,0,0,0.0,1.0,0,1,0,1,0,0,1,0
265,0,3,,0,0,7.75,,0,0,1,0,0,1,0,0
266,0,2,36.0,0,0,10.5,1.0,0,1,0,1,0,0,1,0
267,0,3,16.0,4,1,39.6875,1.0,1,1,0,1,0,0,1,0
268,1,3,25.0,1,0,7.775,1.0,0,1,0,1,0,0,1,0
269,1,1,58.0,0,1,153.4625,2.0,2,0,0,1,0,0,0,1
270,1,1,35.0,0,0,135.6333,1.0,2,0,0,1,0,1,0,0
271,0,1,,0,0,31.0,,1,1,0,1,0,0,1,0
272,1,3,25.0,0,0,0.0,1.0,0,1,0,1,0,0,1,0
273,1,2,41.0,0,1,19.5,1.0,1,0,0,1,0,0,0,1
274,0,1,37.0,0,1,29.7,1.0,1,1,0,0,0,0,1,0
275,1,3,,0,0,7.75,,0,0,1,0,0,1,0,0
276,1,1,63.0,1,0,77.9583,2.0,2,0,0,1,0,1,0,0
277,0,3,45.0,0,0,7.75,1.0,0,0,0,1,0,1,0,0
278,0,2,,0,0,0.0,,0,1,0,1,0,0,1,0
279,0,3,7.0,4,1,29.125,0.0,1,1,1,0,1,0,0,0
280,1,3,35.0,1,1,20.25,1.0,1,0,0,1,0,0,0,1
281,0,3,65.0,0,0,7.75,2.0,0,1,1,0,0,0,1,0
282,0,3,28.0,0,0,7.8542,1.0,0,1,0,1,0,0,1,0
283,0,3,16.0,0,0,9.5,1.0,0,1,0,1,0,0,1,0
284,1,3,19.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
285,0,1,,0,0,26.0,,1,1,0,1,0,0,1,0
286,0,3,33.0,0,0,8.6625,1.0,0,1,0,0,0,0,1,0
287,1,3,30.0,0,0,9.5,1.0,0,1,0,1,0,0,1,0
288,0,3,22.0,0,0,7.8958,1.0,0,1,0,1,0,0,1,0
289,1,2,42.0,0,0,13.0,1.0,1,1,0,1,0,0,1,0
290,1,3,22.0,0,0,7.75,1.0,0,0,1,0,0,1,0,0
291,1,1,26.0,0,0,78.85,1.0,2,0,0,1,0,1,0,0
292,1,1,19.0,1,0,91.0792,1.0,2,0,0,0,0,0,0,1
293,0,2,36.0,0,0,12.875,1.0,1,1,0,0,0,0,1,0
294,0,3,24.0,0,0,8.85,1.0,0,0,0,1,0,1,0,0
295,0,3,24.0,0,0,7.8958,1.0,0,1,0,1,0,0,1,0
296,0,1,,0,0,27.7208,,1,1,0,0,0,0,1,0
