PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,age_group,fare_group,gender_male,embarked_Q,embarked_S,master,miss,mr,mrs
297,0,3,23.5,0,0,7.2292,1.0,0,1,0,0,0,0,1,0
298,0,1,2.0,1,2,151.55,0.0,2,0,0,1,0,1,0,0
299,1,1,,0,0,30.5,,1,1,0,1,0,0,1,0
300,1,1,50.0,0,1,247.5208,1.0,2,0,0,0,0,0,0,1
301,1,3,,0,0,7.75,,0,0,1,0,0,1,0,0
302,1,3,,2,0,23.25,,1,1,1,0,0,0,1,0
303,0,3,19.0,0,0,0.0,1.0,0,1,0,1,0,0,1,0
304,1,2,,0,0,12.35,,1,0,1,0,0,1,0,0
305,0,3,,0,0,8.05,,0,1,0,1,0,0,1,0
306,1,1,0.92,1,2,151.55,0.0,2,1,0,1,1,0,0,0
307,1,1,,0,0,110.8833,,2,0,0,0,0,1,0,0
308,1,1,17.0,1,0,108.9,1.0,2,0,0,0,0,0,0,1
309,0,2,30.0,1,0,24.0,1.0,1,1,0,0,0,0,1,0
310,1,1,30.0,0,0,56.9292,1.0,2,0,0,0,0,1,0,0
311,1,1,24.0,0,0,83.1583,1.0,2,0,0,0,0,1,0,0
312,1,1,18.0,2,2,262.375,1.0,2,0,0,0,0,1,0,0
313,0,2,26.0,1,1,26.0,1.0,1,0,0,1,0,0,0,1
314,0,3,28.0,0,0,7.8958,1.0,0,1,0,1,0,0,1,0
315,0,2,43.0,1,1,26.25,1.0,1,1,0,1,0,0,1,0
316,1,3,26.0,0,0,7.8542,1.0,0,0,0,1,0,1,0,0
317,1,2,24.0,1,0,26.0,1.0,1,0,0,1,0,0,0,1
318,0,2,54.0,0,0,14.0,1.0,1,1,0,1,0,0,0,0
319,1,1,31.0,0,2,164.8667,1.0,2,0,0,1,0,1,0,0
320,1,1,40.0,1,1,134.5,1.0,2,0,0,0,0,0,0,1
321,0,3,22.0,0,0,7.25,1.0,0,1,0,1,0,0,1,0
322,0,3,27.0,0,0,7.8958,1.0,0,1,0,1,0,0,1,0
323,1,2,30.0,0,0,12.35,1.0,1,0,1,0,0,1,0,0
324,1,2,22.0,1,1,29.0,1.0,1,0,0,1,0,0,0,1
325,0,3,,8,2,69.55,,2,1,0,1,0,0,1,0
326,1,1,36.0,0,0,135.6333,1.0,2,0,0,0,0,1,0,0
327,0,3,61.0,0,0,6.2375,2.0,0,1,0,1,0,0,1,0
328,1,2,36.0,0,0,13.0,1.0,1,0,0,1,0,0,0,1
329,1,3,31.0,1,1,20.525,1.0,1,0,0,1,0,0,0,1
330,1,1,16.0,0,1,57.9792,1.0,2,0,0,0,0,1,0,0
331,1,3,,2,0,23.25,,1,0,1,0,0,1,0,0
332,0,1,45.5,0,0,28.5,1.0,1,1,0,1,0,0,1,0
333,0,1,38.0,0,1,153.4625,1.0,2,1,0,1,0,0,1,0
334,0,3,16.0,2,0,18.0,1.0,1,1,0,1,0,0,1,0
335,1,1,,1,0,133.65,,2,0,0,1,0,0,0,1
336,0,3,,0,0,7.8958,,0,1,0,1,0,0,1,0
337,0,1,29.0,1,0,66.6,1.0,2,1,0,1,0,0,1,0
338,1,1,41.0,0,0,134.5,1.0,2,0,0,0,0,1,0,0
339,1,3,45.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
340,0,1,45.0,0,0,35.5,1.0,1,1,0,1,0,0,1,0
341,1,2,2.0,1,1,26.0,0.0,1,1,0,1,1,0,0,0
342,1,1,24.0,3,2,263.0,1.0,2,0,0,1,0,1,0,0
343,0,2,28.0,0,0,13.0,1.0,1,1,0,1,0,0,1,0
344,0,2,25.0,0,0,13.0,1.0,1,1,0,1,0,0,1,0
345,0,2,36.0,0,0,13.0,1.0,1,1,0,1,0,0,1,0
346,1,2,24.0,0,0,13.0,1.0,1,0,0,1,0,1,0,0
347,1,2,40.0,0,0,13.0,1.0,1,0,0,1,0,1,0,0
348,1,3,,1,0,16.1,,1,0,0,1,0,0,0,1
349,1,3,3.0,1,1,15.9,0.0,1,1,0,1,1,0,0,0
350,0,3,42.0,0,0,8.6625,1.0,0,1,0,1,0,0,1,0
351,0,3,23.0,0,0,9.225,1.0,0,1,0,1,0,0,1,0
352,0,1,,0,0,35.0,,1,1,0,1,0,0,1,0
353,0,3,15.0,1,1,7.2292,0.0,0,1,0,0,0,0,1,0
354,0,3,25.0,1,0,17.8,1.0,1,1,0,1,0,0,1,0
355,0,3,,0,0,7.225,,0,1,0,0,0,0,1,0
356,0,3,28.0,0,0,9.5,1.0,0,1,0,1,0,0,1,0
357,1,1,22.0,0,1,55.0,1.0,2,0,0,1,0,1,0,0
358,0,2,38.0,0,0,13.0,1.0,1,0,0,1,0,1,0,0
359,1,3,,0,0,7.8792,,0,0,1,0,0,1,0,0
360,1,3,,0,0,7.8792,,0,0,1,0,0,1,0,0
361,0,3,40.0,1,4,27.9,1.0,1,1,0,1,0,0,1,0
362,0,2,29.0,1,0,27.7208,1.0,1,1,0,0,0,0,1,0
363,0,3,45.0,0,1,14.4542,1.0,1,0,0,0,0,0,0,1
364,0,3,35.0,0,0,7.05,1.0,0,1,0,1,0,0,1,0
365,0,3,,1,0,15.5,,1,1,1,0,0,0,1,0
366,0,3,30.0,0,0,7.25,1.0,0,1,0,1,0,0,1,0
367,1,1,60.0,1,0,75.25,2.0,2,0,0,0,0,0,0,1
368,1,3,,0,0,7.2292,,0,0,0,0,0,0,0,1
369,1,3,,0,0,7.75,,0,0,1,0,0,1,0,0
370,1,1,24.0,0,0,69.3,1.0,2,0,0,0,0,0,0,0
371,1,1,25.0,1,0,55.4417,1.0,2,1,0,0,0,0,1,0
372,0,3,18.0,1,0,6.4958,1.0,0,1,0,1,0,0,1,0
373,0,3,19.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
374,0,1,22.0,0,0,135.6333,1.0,2,1,0,0,0,0,1,0
375,0,3,3.0,3,1,21.075,0.0,1,0,0,1,0,1,0,0
376,1,1,,1,0,82.1708,,2,0,0,0,0,0,0,1
377,1,3,22.0,0,0,7.25,1.0,0,0,0,1,0,1,0,0
378,0,1,27.0,0,2,211.5,1.0,2,1,0,0,0,0,1,0
379,0,3,20.0,0,0,4.0125,1.0,0,1,0,0,0,0,1,0
380,0,3,19.0,0,0,7.775,1.0,0,1,0,1,0,0,1,0
381,1,1,42.0,0,0,227.525,1.0,2,0,0,0,0,1,0,0
382,1,3,1.0,0,2,15.7417,0.0,1,0,0,0,0,1,0,0
383,0,3,32.0,0,0,7.925,1.0,0,1,0,1,0,0,1,0
384,1,1,35.0,1,0,52.0,1.0,2,0,0,1,0,0,0,1
385,0,3,,0,0,7.8958,,0,1,0,1,0,0,1,0
386,0,2,18.0,0,0,73.5,1.0,2,1,0,1,0,0,1,0
387,0,3,1.0,5,2,46.9,0.0,1,1,0,1,1,0,0,0
388,1,2,36.0,0,0,13.0,1.0,1,0,0,1,0,1,0,0
389,0,3,,0,0,7.7292,,0,1,1,0,0,0,1,0
390,1,2,17.0,0,0,12.0,1.0,1,0,0,0,0,1,0,0
391,1,1,36.0,1,2,120.0,1.0,2,1,0,1,0,0,1,0
392,1,3,21.0,0,0,7.7958,1.0,0,1,0,1,0,0,1,0
393,0,3,28.0,2,0,7.925,1.0,0,1,0,1,0,0,1,0
394,1,1,23.0,1,0,113.275,1.0,2,0,0,0,0,1,0,0
395,1,3,24.0,0,2,16.7,1.0,1,0,0,1,0,0,0,1
396,0,3,22.0,0,0,7.7958,1.0,0,1,0,1,0,0,1,0
397,0,3,31.0,0,0,7.8542,1.0,0,0,0,1,0,1,0,0
398,0,2,46.0,0,0,26.0,1.0,1,1,0,1,0,0,1,0
399,0,2,23.0,0,0,10.5,1.0,0,1,0,1,0,0,0,0
400,1,2,28.0,0,0,12.65,1.0,1,0,0,1,0,0,0,1
401,1,3,39.0,0,0,7.925,1.0,0,1,0,1,0,0,1,0
402,0,3,26.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
403,0,3,21.0,1,0,9.825,1.0,0,0,0,1,0,1,0,0
404,0,3,28.0,1,0,15.85,1.0,1,1,0,1,0,0,1,0
405,0,3,20.0,0,0,8.6625,1.0,0,0,0,1,0,1,0,0
406,0,2,34.0,1,0,21.0,1.0,1,1,0,1,0,0,1,0
407,0,3,51.0,0,0,7.75,1.0,0,1,0,1,0,0,1,0
408,1,2,3.0,1,1,18.75,0.0,1,1,0,1,1,0,0,0
409,0,3,21.0,0,0,7.775,1.0,0,1,0,1,0,0,1,0
410,0,3,,3,1,25.4667,,1,0,0,1,0,1,0,0
411,0,3,,0,0,7.8958,,0,1,0,1,0,0,1,0
412,0,3,,0,0,6.8583,,0,1,1,0,0,0,1,0
413,1,1,33.0,1,0,90.0,1.0,2,0,1,0,0,1,0,0
414,0,2,,0,0,0.0,,0,1,0,1,0,0,1,0
415,1,3,44.0,0,0,7.925,1.0,0,1,0,1,0,0,1,0
416,0,3,,0,0,8.05,,0,0,0,1,0,0,0,1
417,1,2,34.0,1,1,32.5,1.0,1,0,0,1,0,0,0,1
418,1,2,18.0,0,2,13.0,1.0,1,0,0,1,0,1,0,0
419,0,2,30.0,0,0,13.0,1.0,1,1,0,1,0,0,1,0
420,0,3,10.0,0,2,24.15,0.0,1,0,0,1,0,1,0,0
421,0,3,,0,0,7.8958,,0,1,0,0,0,0,1,0
422,0,3,21.0,0,0,7.7333,1.0,0,1,1,0,0,0,1,0
423,0,3,29.0,0,0,7.875,1.0,0,1,0,1,0,0,1,0
424,0,3,28.0,1,1,14.4,1.0,1,0,0,1,0,0,0,1
425,0,3,18.0,1,1,20.2125,1.0,1,1,0,1,0,0,1,0
426,0,3,,0,0,7.25,,0,1,0,1,0,0,1,0
427,1,2,28.0,1,0,26.0,1.0,1,0,0,1,0,0,0,1
428,1,2,19.0,0,0,26.0,1.0,1,0,0,1,0,0,0,1
429,0,3,,0,0,7.75,,0,1,1,0,0,0,1,0
430,1,3,32.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
431,1,1,28.0,0,0,26.55,1.0,1,1,0,1,0,0,1,0
432,1,3,,1,0,16.1,,1,0,0,1,0,0,0,1
433,1,2,42.0,1,0,26.0,1.0,1,0,0,1,0,0,0,1
434,0,3,17.0,0,0,7.125,1.0,0,1,0,1,0,0,1,0
435,0,1,50.0,1,0,55.9,1.0,2,1,0,1,0,0,1,0
436,1,1,14.0,1,2,120.0,0.0,2,0,0,1,0,1,0,0
437,0,3,21.0,2,2,34.375,1.0,1,0,0,1,0,1,0,0
438,1,2,24.0,2,3,18.75,1.0,1,0,0,1,0,0,0,1
439,0,1,64.0,1,4,263.0,2.0,2,1,0,1,0,0,1,0
440,0,2,31.0,0,0,10.5,1.0,0,1,0,1,0,0,1,0
441,1,2,45.0,1,1,26.25,1.0,1,0,0,1,0,0,0,1
442,0,3,20.0,0,0,9.5,1.0,0,1,0,1,0,0,1,0
443,0,3,25.0,1,0,7.775,1.0,0,1,0,1,0,0,1,0
444,1,2,28.0,0,0,13.0,1.0,1,0,0,1,0,0,0,0
445,1,3,,0,0,8.1125,,0,1,0,1,0,0,1,0
446,1,1,4.0,0,2,81.8583,0.0,2,1,0,1,1,0,0,0
447,1,2,13.0,0,1,19.5,0.0,1,0,0,1,0,1,0,0
448,1,1,34.0,0,0,26.55,1.0,1,1,0,1,0,0,1,0
449,1,3,5.0,2,1,19.2583,0.0,1,0,0,0,0,1,0,0
450,1,1,52.0,0,0,30.5,1.0,1,1,0,1,0,0,0,0
451,0,2,36.0,1,2,27.75,1.0,1,1,0,1,0,0,1,0
452,0,3,,1,0,19.9667,,1,1,0,1,0,0,1,0
453,0,1,30.0,0,0,27.75,1.0,1,1,0,0,0,0,1,0
454,1,1,49.0,1,0,89.1042,1.0,2,1,0,0,0,0,1,0
455,0,3,,0,0,8.05,,0,1,0,1,0,0,1,0
456,1,3,29.0,0,0,7.8958,1.0,0,1,0,0,0,0,1,0
457,0,1,65.0,0,0,26.55,2.0,1,1,0,1,0,0,1,0
458,1,1,,1,0,51.8625,,2,0,0,1,0,0,0,1
459,1,2,50.0,0,0,10.5,1.0,0,0,0,1,0,1,0,0
460,0,3,,0,0,7.75,,0,1,1,0,0,0,1,0
461,1,1,48.0,0,0,26.55,1.0,1,1,0,1,0,0,1,0
462,0,3,34.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
463,0,1,47.0,0,0,38.5,1.0,1,1,0,1,0,0,1,0
464,0,2,48.0,0,0,13.0,1.0,1,1,0,1,0,0,1,0
465,0,3,,0,0,8.05,,0,1,0,1,0,0,1,0
466,0,3,38.0,0,0,7.05,1.0,0,1,0,1,0,0,1,0
467,0,2,,0,0,0.0,,0,1,0,1,0,0,1,0
468,0,1,56.0,0,0,26.55,2.0,1,1,0,1,0,0,1,0
469,0,3,,0,0,7.725,,0,1,1,0,0,0,1,0
470,1,3,0.75,2,1,19.2583,0.0,1,0,0,0,0,1,0,0
471,0,3,,0,0,7.25,,0,1,0,1,0,0,1,0
472,0,3,38.0,0,0,8.6625,1.0,0,1,0,1,0,0,1,0
473,1,2,33.0,1,2,27.75,1.0,1,0,0,1,0,0,0,1
474,1,2,23.0,0,0,13.7917,1.0,1,0,0,0,0,0,0,1
475,0,3,22.0,0,0,9.8375,1.0,0,0,0,1,0,1,0,0
476,0,1,,0,0,52.0,,2,1,0,1,0,0,1,0
477,0,2,34.0,1,0,21.0,1.0,1,1,0,1,0,0,1,0
478,0,3,29.0,1,0,7.0458,1.0,0,1,0,1,0,0,1,0
479,0,3,22.0,0,0,7.5208,1.0,0,1,0,1,0,0,1,0
480,1,3,2.0,0,1,12.2875,0.0,1,0,0,1,0,1,0,0
481,0,3,9.0,5,2,46.9,0.0,1,1,0,1,1,0,0,0
482,0,2,,0,0,0.0,,0,1,0,1,0,0,1,0
483,0,3,50.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
484,1,3,63.0,0,0,9.5875,2.0,0,0,0,1,0,0,0,1
485,1,1,25.0,1,0,91.0792,1.0,2,1,0,0,0,0,1,0
486,0,3,,3,1,25.4667,,1,0,0,1,0,1,0,0
487,1,1,35.0,1,0,90.0,1.0,2,0,0,1,0,0,0,1
488,0,1,58.0,0,0,29.7,2.0,1,1,0,0,0,0,1,0
489,0,3,30.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
490,1,3,9.0,1,1,15.9,0.0,1,1,0,1,1,0,0,0
491,0,3,,1,0,19.9667,,1,1,0,1,0,0,1,0
492,0,3,21.0,0,0,7.25,1.0,0,1,0,1,0,0,1,0
493,0,1,55.0,0,0,30.5,2.0,1,1,0,1,0,0,1,0
494,0,1,71.0,0,0,49.5042,2.0,2,1,0,0,0,0,1,0
495,0,3,21.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
496,0,3,,0,0,14.4583,,1,1,0,0,0,0,1,0
497,1,1,54.0,1,0,78.2667,1.0,2,0,0,0,0,1,0,0
498,0,3,,0,0,15.1,,1,1,0,1,0,0,1,0
499,0,1,25.0,1,2,151.55,1.0,2,0,0,1,0,0,0,1
500,0,3,24.0,0,0,7.7958,1.0,0,1,0,1,0,0,1,0
501,0,3,17.0,0,0,8.6625,1.0,0,1,0,1,0,0,1,0
502,0,3,21.0,0,0,7.75,1.0,0,0,1,0,0,1,0,0
503,0,3,,0,0,7.6292,,0,0,1,0,0,1,0,0
504,0,3,37.0,0,0,9.5875,1.0,0,0,0,1,0,1,0,0
505,1,1,16.0,0,0,86.5,1.0,2,0,0,1,0,1,0,0
506,0,1,18.0,1,0,108.9,1.0,2,1,0,0,0,0,1,0
507,1,2,33.0,0,2,26.0,1.0,1,0,0,1,0,0,0,1
508,1,1,,0,0,26.55,,1,1,0,1,0,0,1,0
509,0,3,28.0,0,0,22.525,1.0,1,1,0,1,0,0,1,0
510,1,3,26.0,0,0,56.4958,1.0,2,1,0,1,0,0,1,0
511,1,3,29.0,0,0,7.75,1.0,0,1,1,0,0,0,1,0
512,0,3,,0,0,8.05,,0,1,0,1,0,0,1,0
513,1,1,36.0,0,0,26.2875,1.0,1,1,0,1,0,0,1,0
514,1,1,54.0,1,0,59.4,1.0,2,0,0,0,0,0,0,1
515,0,3,24.0,0,0,7.4958,1.0,0,1,0,1,0,0,1,0
516,0,1,47.0,0,0,34.0208,1.0,1,1,0,1,0,0,1,0
517,1,2,34.0,0,0,10.5,1.0,0,0,0,1,0,0,0,1
518,0,3,,0,0,24.15,,1,1,1,0,0,0,1,0
519,1,2,36.0,1,0,26.0,1.0,1,0,0,1,0,0,0,1
520,0,3,32.0,0,0,7.8958,1.0,0,1,0,1,0,0,1,0
521,1,1,30.0,0,0,93.5,1.0,2,0,0,1,0,1,0,0
522,0,3,22.0,0,0,7.8958,1.0,0,1,0,1,0,0,1,0
523,0,3,,0,0,7.225,,0,1,0,0,0,0,1,0
524,1,1,44.0,0,1,57.9792,1.0,2,0,0,0,0,0,0,1
525,0,3,,0,0,7.2292,,0,1,0,0,0,0,1,0
526,0,3,40.5,0,0,7.75,1.0,0,1,1,0,0,0,1,0
527,1,2,50.0,0,0,10.5,1.0,0,0,0,1,0,1,0,0
528,0,1,,0,0,221.7792,,2,1,0,1,0,0,1,0
529,0,3,39.0,0,0,7.925,1.0,0,1,0,1,0,0,1,0
530,0,2,23.0,2,1,11.5,1.0,1,1,0,1,0,0,1,0
531,1,2,2.0,1,1,26.0,0.0,1,0,0,1,0,1,0,0
532,0,3,,0,0,7.2292,,0,1,0,0,0,0,1,0
533,0,3,17.0,1,1,7.2292,1.0,0,1,0,0,0,0,1,0
534,1,3,,0,2,22.3583,,1,0,0,0,0,0,0,1
535,0,3,30.0,0,0,8.6625,1.0,0,0,0,1,0,1,0,0
536,1,2,7.0,0,2,26.25,0.0,1,0,0,1,0,1,0,0
537,0,1,45.0,0,0,26.55,1.0,1,1,0,1,0,0,0,0
538,1,1,30.0,0,0,106.425,1.0,2,0,0,0,0,1,0,0
539,0,3,,0,0,14.5,,1,1,0,1,0,0,1,0
540,1,1,22.0,0,2,49.5,1.0,2,0,0,0,0,1,0,0
541,1,1,36.0,0,2,71.0,1.0,2,0,0,1,0,1,0,0
542,0,3,9.0,4,2,31.275,0.0,1,0,0,1,0,1,0,0
543,0,3,11.0,4,2,31.275,0.0,1,0,0,1,0,1,0,0
544,1,2,32.0,1,0,26.0,1.0,1,1,0,1,0,0,1,0
545,0,1,50.0,1,0,106.425,1.0,2,1,0,0,0,0,1,0
546,0,1,64.0,0,0,26.0,2.0,1,1,0,1,0,0,1,0
547,1,2,19.0,1,0,26.0,1.0,1,0,0,1,0,0,0,1
548,1,2,,0,0,13.8625,,1,1,0,0,0,0,1,0
549,0,3,33.0,1,1,20.525,1.0,1,1,0,1,0,0,1,0
550,1,2,8.0,1,1,36.75,0.0,1,1,0,1,1,0,0,0
551,1,1,17.0,0,2,110.8833,1.0,2,1,0,0,0,0,1,0
552,0,2,27.0,0,0,26.0,1.0,1,1,0,1,0,0,1,0
553,0,3,,0,0,7.8292,,0,1,1,0,0,0,1,0
554,1,3,22.0,0,0,7.225,1.0,0,1,0,0,0,0,1,0
555,1,3,22.0,0,0,7.775,1.0,0,0,0,1,0,1,0,0
556,0,1,62.0,0,0,26.55,2.0,1,1,0,1,0,0,1,0
557,1,1,48.0,1,0,39.6,1.0,1,0,0,0,0,0,0,1
558,0,1,,0,0,227.525,,2,1,0,0,0,0,1,0
559,1,1,39.0,1,1,79.65,1.0,2,0,0,1,0,0,0,1
560,1,3,36.0,1,0,17.4,1.0,1,0,0,1,0,0,0,1
561,0,3,,0,0,7.75,,0,1,1,0,0,0,1,0
562,0,3,40.0,0,0,7.8958,1.0,0,1,0,1,0,0,1,0
563,0,2,28.0,0,0,13.5,1.0,1,1,0,1,0,0,1,0
564,0,3,,0,0,8.05,,0,1,0,1,0,0,1,0
565,0,3,,0,0,8.05,,0,0,0,1,0,1,0,0
566,0,3,24.0,2,0,24.15,1.0,1,1,0,1,0,0,1,0
567,0,3,19.0,0,0,7.8958,1.0,0,1,0,1,0,0,1,0
568,0,3,29.0,0,4,21.075,1.0,1,0,0,1,0,0,0,1
569,0,3,,0,0,7.2292,,0,1,0,0,0,0,1,0
570,1,3,32.0,0,0,7.8542,1.0,0,1,0,1,0,0,1,0
571,1,2,62.0,0,0,10.5,2.0,0,1,0,1,0,0,1,0
572,1,1,53.0,2,0,51.4792,1.0,2,0,0,1,0,0,0,1
573,1,1,36.0,0,0,26.3875,1.0,1,1,0,1,0,0,1,0
574,1,3,,0,0,7.75,,0,0,1,0,0,1,0,0
575,0,3,16.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
576,0,3,19.0,0,0,14.5,1.0,1,1,0,1,0,0,1,0
577,1,2,34.0,0,0,13.0,1.0,1,0,0,1,0,1,0,0
578,1,1,39.0,1,0,55.9,1.0,2,0,0,1,0,0,0,1
579,0,3,,1,0,14.4583,,1,0,0,0,0,0,0,1
580,1,3,32.0,0,0,7.925,1.0,0,1,0,1,0,0,1,0
581,1,2,25.0,1,1,30.0,1.0,1,0,0,1,0,1,0,0
582,1,1,39.0,1,1,110.8833,1.0,2,0,0,0,0,0,0,1
583,0,2,54.0,0,0,26.0,1.0,1,1,0,1,0,0,1,0
584,0,1,36.0,0,0,40.125,1.0,1,1,0,0,0,0,1,0
585,0,3,,0,0,8.7125,,0,1,0,0,0,0,1,0
586,1,1,18.0,0,2,79.65,1.0,2,0,0,1,0,1,0,0
587,0,2,47.0,0,0,15.0,1.0,1,1,0,1,0,0,1,0
588,1,1,60.0,1,1,79.2,2.0,2,1,0,0,0,0,1,0
589,0,3,22.0,0,0,8.05,1.0,0,1,0,1,0,0,1,0
590,0,3,,0,0,8.05,,0,1,0,1,0,0,1,0
591,0,3,35.0,0,0,7.125,1.0,0,1,0,1,0,0,1,0
592,1,1,52.0,1,0,78.2667,1.0,2,0,0,0,0,0,0,1
593,0,3,47.0,0,0,7.25,1.0,0,1,0,1,0,0,1,0
594,0,3,,0,2,7.75,,0,0,1,0,0,1,0,0
